range	bloomHash	bloomSize	indexHash	indexSize
004025575-004039897	QmWRqi6uoXjzBxm3oB8eFaCVPTMUnPKU2BtrZCjPTboxZb	917570	QmaApLJW9VJkjdQFtJof7bhuNEgvBtjaQiTTjnfp6s7m15	25156792
004039898-004053179	QmYkbSbHpz2L6za9p7kj6d9AWqVwThhNeRYDsNqu5BaPvd	1048646	QmRAUre2hagct3gs5d3VecuznDDnWfLYaoCjLzVfdb9fyE	25808108
004053180-004067506	QmdinUr4BGGjyTdejmcej4ZcMo67RCNrGBHaprxs1kuiAb	917570	QmZ77DMWWLe4LAGWrtiPf2fk9VSAC1w1Q6xeTJVCnogoT5	25262388
004067507-004083282	QmavLwRoGfvzTMhoccqvfZ6DsPGVj9ierASQu9UtB5duAM	917570	QmS8i1t3ExWm6ywhERpSsnQTt6ssp7cgXduKhZRZ9CydMv	25512624
004083283-004099440	QmQA7qHuLaUA19pwYavcDPwxChNUApJi7gohud3ogd814u	917570	QmRGLBV7fp1bPtj6cBR3ECmqUCkWhGzd5w6JBvcWooX7ns	25671664
004099441-004100000	QmSFpu5EcAetURTfpHM73P5kKNXxGxRBQgoKqMf8XiM8sw	131114	QmZ3aQBfUTL6N3v27VjJ7b3w5TJNJxnfetxBM8d2rnmQwn	1154436
004100001-004113086	QmPjaFS6Dh28g13kcHemP8J3KK6PPaj8QMBpHDUbaywyzL	917570	QmaK4UGgc5Bix2BwN8R46fv5JoDsE3RK7kY9cdiB8Em43y	25769032
004113087-004124853	QmQageR5qdQ8vWZGvb55jtjQ62Yt8Lw37tsh6fd4UCGnHj	917570	QmTnsM5r7BACE48axcXSpiZeEoMuQ3zbmr2BGkhfc3FLZF	25420440
004124854-004135041	QmUsZM5zoeECHmue9HWyjYtueLkcSm5YH6WnEkWQpgqj48	1048646	QmTkjfC1EmBfCU5R5pYSa6i1Zvp1i9Gy1Nqn32229ygHNw	25906304
004135042-004144466	QmWe1GLTPKWSauYrSdkNva9eihXPheB44DSapB3CXKrxuT	1048646	Qmd49JJ4xKLxuunfDZ9uGzmhNmSVX9UtYJ7BvRCdy8i2Kk	25844468
004144467-004153380	QmTPTuyipTy9XXgCq5HhK4VbQg82T15WwnhczqKyct2whe	917570	QmNZLCSgyhC9TdicFe9Xttr6gEKLfLktv9YHDz1UBD3xHm	25575740
004153381-004160838	QmW9JK85P86qx9WkzuKR5cHTtjSTYo9yu467nmh9vPaqGE	1048646	QmRyaTye3kRjuCsZ8MoYL34he6dLCwVHqovSDkgctgLie5	26570152
004160839-004167839	QmRSfLsdyiN4QKCEeoosJndhZ6aik6jKjZ2sofquhNcwi7	917570	QmYU5oueF799x9yQjKCaarrieWwpzRHrkgHVNMa3jJURhr	24529376
